collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
CAPITAL REGION MEDICAL CENTER,47,0,47,33.8%,0.0%,38.5%,0,0,0,0.0%,0.0%,0.0%,2.1%,0.0%,2.1%,36.2%,0.0%,36.2%,100.0%,0.0%,100.0%
MIDLAND CREDIT MANAGEMENT INC,17,3,14,12.2%,17.6%,11.5%,0,0,0,0.0%,0.0%,0.0%,17.6%,33.3%,14.3%,35.3%,33.3%,35.7%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,10,0,10,7.2%,0.0%,8.2%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,30.0%,0.0%,30.0%,100.0%,0.0%,100.0%
LVNV FUNDING LLC,9,2,7,6.5%,11.8%,5.7%,0,0,0,0.0%,0.0%,0.0%,11.1%,0.0%,14.3%,44.4%,100.0%,28.6%,100.0%,100.0%,100.0%
MIDLAND FUNDING LLC,8,1,7,5.8%,5.9%,5.7%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,100.0%,28.6%,100.0%,100.0%,100.0%
PORTFOLIO RECOVERY ASSOCAITES LLC,8,6,2,5.8%,35.3%,1.6%,0,0,0,0.0%,0.0%,0.0%,12.5%,0.0%,50.0%,62.5%,83.3%,0.0%,100.0%,100.0%,100.0%
CITIBANK NA,5,1,4,3.6%,5.9%,3.3%,0,0,0,0.0%,0.0%,0.0%,40.0%,100.0%,25.0%,20.0%,0.0%,25.0%,100.0%,100.0%,100.0%
CAVALRY SPV I LLC,3,2,1,2.2%,11.8%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,33.3%,50.0%,0.0%,100.0%,100.0%,100.0%
CARDINAL LOANS LLC,2,0,2,1.4%,0.0%,1.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,50.0%,100.0%,0.0%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,2,0,2,1.4%,0.0%,1.6%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%,100.0%
