collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,1389,667,722,29.7%,43.9%,22.9%,117544,0,117544,21.1%,0.0%,21.1%,0.4%,0.1%,0.6%,69.0%,68.2%,69.8%,92.7%,85.8%,99.0%
PORTFOLIO RECOVERY ASSOCIATES LLC,815,99,716,17.4%,6.5%,22.7%,183247,0,183247,32.8%,0.0%,32.8%,0.5%,1.0%,0.4%,67.1%,58.6%,68.3%,94.6%,77.8%,96.9%
MIDLAND FUNDING LLC,557,11,546,11.9%,0.7%,17.3%,35813,0,35813,6.4%,0.0%,6.4%,0.4%,0.0%,0.4%,72.5%,81.8%,72.3%,98.9%,100.0%,98.9%
MIDLAND CREDIT MANAGEMENT INC,449,287,162,9.6%,18.9%,5.1%,70315,0,70315,12.6%,0.0%,12.6%,0.0%,0.0%,0.0%,69.0%,74.9%,58.6%,95.3%,94.1%,97.5%
CAVALRY SPV I LLC,348,85,263,7.4%,5.6%,8.3%,37425,0,37425,6.7%,0.0%,6.7%,0.0%,0.0%,0.0%,69.5%,78.8%,66.5%,97.7%,91.8%,99.6%
JEFFERSON CAPITAL SYSTEMS LLC,312,87,225,6.7%,5.7%,7.1%,38693,0,38693,6.9%,0.0%,6.9%,0.0%,0.0%,0.0%,67.9%,69.0%,67.6%,96.5%,87.4%,100.0%
CREDIT MANAGEMENT CORPORATION,89,30,59,1.9%,2.0%,1.9%,1824,0,1824,0.3%,0.0%,0.3%,0.0%,0.0%,0.0%,66.3%,56.7%,71.2%,93.3%,80.0%,100.0%
UNIFUND CORPORATION,59,2,57,1.3%,0.1%,1.8%,15240,0,15240,2.7%,0.0%,2.7%,0.0%,0.0%,0.0%,66.1%,0.0%,68.4%,98.3%,50.0%,100.0%
DNF ASSOCIATES LLC,58,55,3,1.2%,3.6%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,49.1%,66.7%,77.6%,76.4%,100.0%
CROWN ASSET MANAGEMENT LLC,55,51,4,1.2%,3.4%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,69.1%,68.6%,75.0%,89.1%,88.2%,100.0%
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY BANK,35,0,35,0.7%,0.0%,1.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,57.1%,0.0%,57.1%,94.3%,0.0%,94.3%
CREDIT CORP SOLUTIONS INC,32,31,1,0.7%,2.0%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,81.3%,80.6%,100.0%,96.9%,96.8%,100.0%
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF COMENITY BANK,30,2,28,0.6%,0.1%,0.9%,6253,0,6253,1.1%,0.0%,1.1%,0.0%,0.0%,0.0%,56.7%,100.0%,53.6%,93.3%,100.0%,92.9%
SECOND ROUND SUB LLC ASSIGNEE OF COMENITY CAPITAL BANK,29,0,29,0.6%,0.0%,0.9%,888,0,888,0.2%,0.0%,0.2%,0.0%,0.0%,0.0%,65.5%,0.0%,65.5%,89.7%,0.0%,89.7%
UNIFUND CORP.,28,6,22,0.6%,0.4%,0.7%,14143,0,14143,2.5%,0.0%,2.5%,0.0%,0.0%,0.0%,67.9%,83.3%,63.6%,96.4%,83.3%,100.0%
CREDIT CORP SOLUTIONS INC ASSIGNEE OF SYNCHRONY BANK,28,1,27,0.6%,0.1%,0.9%,1622,0,1622,0.3%,0.0%,0.3%,0.0%,0.0%,0.0%,75.0%,100.0%,74.1%,100.0%,100.0%,100.0%
CROWN ASSET MANAGEMENT LLC ASSIGNEE OF SYNCHRONY BANK,25,0,25,0.5%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,4.0%,0.0%,4.0%,48.0%,0.0%,48.0%,96.0%,0.0%,96.0%
SECOND ROUND SUB LLC,24,22,2,0.5%,1.4%,0.1%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,58.3%,63.6%,0.0%,87.5%,86.4%,100.0%
ABSOLUTE RESOLUTIONS INVESTMENTS LLC,19,4,15,0.4%,0.3%,0.5%,13950,0,13950,2.5%,0.0%,2.5%,0.0%,0.0%,0.0%,47.4%,50.0%,46.7%,94.7%,75.0%,100.0%
DISCOVER BANK,18,3,15,0.4%,0.2%,0.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,77.8%,100.0%,73.3%,100.0%,100.0%,100.0%
