collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,71,44,27,14.4%,16.9%,11.6%,20603,15133,5470,1.8%,4.3%,0.7%,60.6%,95.5%,3.7%,0.0%,0.0%,0.0%,23.9%,31.8%,11.1%
midland credit management inc,50,29,21,10.1%,11.1%,9.1%,39736,22702,17034,3.5%,6.4%,2.2%,56.0%,89.7%,9.5%,0.0%,0.0%,0.0%,36.0%,31.0%,42.9%
portfolio recovery associates llc,34,11,23,6.9%,4.2%,9.9%,19857,2639,17218,1.8%,0.7%,2.2%,35.3%,100.0%,4.3%,0.0%,0.0%,0.0%,41.2%,9.1%,56.5%
capital one bank (usa) na,31,26,5,6.3%,10.0%,2.2%,50284,50284,0,4.4%,14.2%,0.0%,87.1%,100.0%,20.0%,0.0%,0.0%,0.0%,48.4%,53.8%,20.0%
jefferson capital systems llc,20,2,18,4.1%,0.8%,7.8%,21715,7855,13860,1.9%,2.2%,1.8%,10.0%,100.0%,0.0%,0.0%,0.0%,0.0%,45.0%,100.0%,38.9%
discover bank,20,12,8,4.1%,4.6%,3.4%,59175,34414,24761,5.2%,9.7%,3.2%,65.0%,100.0%,12.5%,0.0%,0.0%,0.0%,65.0%,58.3%,75.0%
cavalry spv i llc,13,6,7,2.6%,2.3%,3.0%,30708,1718,28990,2.7%,0.5%,3.7%,30.8%,66.7%,0.0%,0.0%,0.0%,0.0%,38.5%,16.7%,57.1%
the morris plan company of terre haute inc,11,1,10,2.2%,0.4%,4.3%,95460,0,95460,8.4%,0.0%,12.2%,18.2%,100.0%,10.0%,0.0%,0.0%,0.0%,90.9%,0.0%,100.0%
onemain financial group llc,11,7,4,2.2%,2.7%,1.7%,39944,21138,18806,3.5%,6.0%,2.4%,54.5%,85.7%,0.0%,0.0%,0.0%,0.0%,45.5%,42.9%,50.0%
baxter credit union,10,7,3,2.0%,2.7%,1.3%,2869,2869,0,0.3%,0.8%,0.0%,90.0%,100.0%,66.7%,0.0%,0.0%,0.0%,30.0%,28.6%,33.3%
sac finance inc,10,9,1,2.0%,3.4%,0.4%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
synchrony bank,10,10,0,2.0%,3.8%,0.0%,0,0,0,0.0%,0.0%,0.0%,80.0%,80.0%,0%,0.0%,0.0%,0%,10.0%,10.0%,0%
unifund ccr llc,9,1,8,1.8%,0.4%,3.4%,6262,0,6262,0.6%,0.0%,0.8%,22.2%,100.0%,12.5%,0.0%,0.0%,0.0%,55.6%,0.0%,62.5%
autovest llc,9,0,9,1.8%,0.0%,3.9%,28536,0,28536,2.5%,0.0%,3.7%,0.0%,0%,0.0%,0.0%,0%,0.0%,66.7%,0%,66.7%
