collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
LVNV FUNDING LLC,565,374,191,14.0%,17.3%,10.2%,7019,5163,1856,2.3%,5.1%,0.9%,1.2%,0.5%,2.6%,0.0%,0.0%,0.0%,38.4%,37.2%,40.8%
PORTFOLIO RECOVERY ASSOCIATES LLC,488,191,297,12.1%,8.8%,15.8%,4336,1809,2527,1.4%,1.8%,1.3%,3.5%,1.0%,5.1%,0.0%,0.0%,0.0%,54.7%,43.5%,62.0%
MIDLAND CREDIT MANAGEMENT INC,383,187,196,9.5%,8.6%,10.5%,1073,0,1073,0.4%,0.0%,0.5%,2.6%,1.1%,4.1%,0.0%,0.0%,0.0%,43.3%,25.1%,60.7%
CAPITAL ONE BANK (USA) NA,228,185,43,5.6%,8.5%,2.3%,212,212,0,0.1%,0.2%,0.0%,5.7%,5.9%,4.7%,0.0%,0.0%,0.0%,53.1%,55.1%,44.2%
DISCOVER BANK,173,123,50,4.3%,5.7%,2.7%,6638,0,6638,2.2%,0.0%,3.3%,7.5%,4.9%,14.0%,0.0%,0.0%,0.0%,53.2%,46.3%,70.0%
JEFFERSON CAPITAL SYSTEMS LLC,165,52,113,4.1%,2.4%,6.0%,0,0,0,0.0%,0.0%,0.0%,2.4%,3.8%,1.8%,0.0%,0.0%,0.0%,34.5%,28.8%,37.2%
TRUSTMARK RECOVERY SERVICES,133,95,38,3.3%,4.4%,2.0%,0,0,0,0.0%,0.0%,0.0%,3.8%,3.2%,5.3%,0.0%,0.0%,0.0%,26.3%,23.2%,34.2%
CROWN ASSET MANAGEMENT LLC,113,66,47,2.8%,3.0%,2.5%,5655,1272,4383,1.9%,1.2%,2.2%,11.5%,13.6%,8.5%,0.0%,0.0%,0.0%,66.4%,54.5%,83.0%
CAVALRY SPV I LLC,105,56,49,2.6%,2.6%,2.6%,28,28,0,0.0%,0.0%,0.0%,7.6%,5.4%,10.2%,0.0%,0.0%,0.0%,56.2%,39.3%,75.5%
CITIBANK NA,100,51,49,2.5%,2.4%,2.6%,4270,0,4270,1.4%,0.0%,2.1%,15.0%,9.8%,20.4%,0.0%,0.0%,0.0%,69.0%,51.0%,87.8%
