collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
moberly hospital company llc d/b/a moberly regional med,541,55,486,74.5%,59.1%,76.8%,0,0,0,0%,0%,0%,2.2%,0.0%,2.5%,32.5%,27.3%,33.1%,98.9%,92.7%,99.6%
lvnv funding llc,36,8,28,5.0%,8.6%,4.4%,0,0,0,0%,0%,0%,5.6%,0.0%,7.1%,36.1%,62.5%,28.6%,100.0%,100.0%,100.0%
midland credit management inc,28,4,24,3.9%,4.3%,3.8%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,0.0%,58.3%,96.4%,75.0%,100.0%
portfolio recovery associates llc,27,4,23,3.7%,4.3%,3.6%,0,0,0,0%,0%,0%,3.7%,0.0%,4.3%,44.4%,50.0%,43.5%,100.0%,100.0%,100.0%
moberly hospital company llc,11,0,11,1.5%,0.0%,1.7%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,27.3%,0%,27.3%,90.9%,0%,90.9%
midland funding llc,7,1,6,1.0%,1.1%,0.9%,0,0,0,0%,0%,0%,14.3%,100.0%,0.0%,42.9%,0.0%,50.0%,85.7%,0.0%,100.0%
kirksville missouri hospital co,5,0,5,0.7%,0.0%,0.8%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,40.0%,0%,40.0%,100.0%,0%,100.0%
jp morgan chase bank na,5,5,0,0.7%,5.4%,0.0%,0,0,0,0%,0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,60.0%,60.0%,0%
cavalry spv i llc,4,0,4,0.6%,0.0%,0.6%,0,0,0,0%,0%,0%,25.0%,0%,25.0%,50.0%,0%,50.0%,100.0%,0%,100.0%
jefferson capital systems llc,4,2,2,0.6%,2.2%,0.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,25.0%,0.0%,50.0%,100.0%,100.0%,100.0%
td bank usa na,4,3,1,0.6%,3.2%,0.2%,0,0,0,0%,0%,0%,25.0%,33.3%,0.0%,0.0%,0.0%,0.0%,75.0%,66.7%,100.0%
citibank na,4,1,3,0.6%,1.1%,0.5%,0,0,0,0%,0%,0%,50.0%,0.0%,66.7%,50.0%,100.0%,33.3%,100.0%,100.0%,100.0%
capital one bank (usa) na,3,0,3,0.4%,0.0%,0.5%,0,0,0,0%,0%,0%,33.3%,0%,33.3%,0.0%,0%,0.0%,100.0%,0%,100.0%
wakefield & associates inc,3,1,2,0.4%,1.1%,0.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,33.3%,100.0%,0.0%,100.0%,100.0%,100.0%
world finance corp,3,1,2,0.4%,1.1%,0.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
midland credit management inc a corporation,3,1,2,0.4%,1.1%,0.3%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%,100.0%,100.0%,100.0%
consumer adjustment company inc,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
moberly hospital company llc d/b/a moberly regional med petitioner,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
moberly hospital co llc d/b/a moberly regional med center,2,1,1,0.3%,1.1%,0.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
wakefield & associates inc petitioner,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
credit bureau of columbia inc,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
ncb management services inc,2,1,1,0.3%,1.1%,0.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
chariton co ambulance district,2,1,1,0.3%,1.1%,0.2%,0,0,0,0%,0%,0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%,100.0%,100.0%,100.0%
national collegiate student loan trust,2,0,2,0.3%,0.0%,0.3%,0,0,0,0%,0%,0%,50.0%,0%,50.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
evansville teachers federal credit union,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
moberly hospital company llc d/b/a moberly regional hos,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
moberly hospital co llc dba moberly regional medical,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
moberly hospital company llc d/b/a moberly regional medical,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
kirksville missouri hospital co petitioner,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
world acceptance corp of missouri,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,100.0%,0%,100.0%,100.0%,0%,100.0%
federated mutual insurance company,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,100.0%,0%,100.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
discover bank,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
the central trust bank,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
phoenix urology of st. joseph inc,1,0,1,0.1%,0.0%,0.2%,0,0,0,0%,0%,0%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
