collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
southeast missouri hospital association,81,22,59,17.6%,27.5%,15.6%,0,0,0,0.0%,0.0%,0%,4.9%,4.5%,5.1%,55.6%,50.0%,57.6%,95.1%,90.9%,96.6%
lvnv funding llc,74,22,52,16.1%,27.5%,13.7%,0,0,0,0.0%,0.0%,0%,2.7%,4.5%,1.9%,43.2%,50.0%,40.4%,100.0%,100.0%,100.0%
midland credit management inc,38,8,30,8.3%,10.0%,7.9%,0,0,0,0.0%,0.0%,0%,10.5%,12.5%,10.0%,39.5%,50.0%,36.7%,97.4%,100.0%,96.7%
portfolio recovery associates llc - california,21,2,19,4.6%,2.5%,5.0%,0,0,0,0.0%,0.0%,0%,14.3%,0.0%,15.8%,14.3%,100.0%,5.3%,95.2%,100.0%,94.7%
portfolio recovery associates llc - treena st san diego ca,20,1,19,4.4%,1.3%,5.0%,0,0,0,0.0%,0.0%,0%,5.0%,0.0%,5.3%,40.0%,100.0%,36.8%,100.0%,100.0%,100.0%
credit bureau service llc,20,1,19,4.4%,1.3%,5.0%,0,0,0,0.0%,0.0%,0%,0.0%,0.0%,0.0%,60.0%,0.0%,63.2%,100.0%,100.0%,100.0%
portfolio recovery associates llc - st louis,15,0,15,3.3%,0.0%,4.0%,0,0,0,0.0%,0.0%,0%,0.0%,0%,0.0%,46.7%,0%,46.7%,100.0%,0%,100.0%
portfolio recovery associates llc,13,0,13,2.8%,0.0%,3.4%,0,0,0,0.0%,0.0%,0%,0.0%,0%,0.0%,30.8%,0%,30.8%,100.0%,0%,100.0%
jefferson capital systems llc,10,1,9,2.2%,1.3%,2.4%,0,0,0,0.0%,0.0%,0%,0.0%,0.0%,0.0%,40.0%,0.0%,44.4%,100.0%,100.0%,100.0%
midland funding llc,8,0,8,1.7%,0.0%,2.1%,0,0,0,0.0%,0.0%,0%,0.0%,0%,0.0%,37.5%,0%,37.5%,100.0%,0%,100.0%
