collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
midland credit management inc,51,21,30,13.7%,10.9%,16.6%,44687,5286,39401,3.6%,1.3%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,21.6%,0.0%,36.7%
lvnv funding llc,34,26,8,9.1%,13.5%,4.4%,12444,6673,5772,1.0%,1.6%,0.7%,2.9%,3.8%,0.0%,0.0%,0.0%,0.0%,2.9%,3.8%,0.0%
portfolio recovery associates llc,28,7,21,7.5%,3.6%,11.6%,59792,23752,36040,4.9%,5.7%,4.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,14.3%,52.4%
professional & business collections llc,27,15,12,7.2%,7.8%,6.6%,137106,73027,64080,11.2%,17.6%,7.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,29.6%,26.7%,33.3%
capital one bank (usa) na,26,20,6,7.0%,10.4%,3.3%,46538,40401,6137,3.8%,9.7%,0.8%,3.8%,5.0%,0.0%,0.0%,0.0%,0.0%,23.1%,20.0%,33.3%
discover bank,22,16,6,5.9%,8.3%,3.3%,71104,18068,53035,5.8%,4.4%,6.5%,9.1%,6.3%,16.7%,0.0%,0.0%,0.0%,13.6%,6.3%,33.3%
jefferson capital systems llc,17,2,15,4.6%,1.0%,8.3%,13047,862,12185,1.1%,0.2%,1.5%,5.9%,0.0%,6.7%,0.0%,0.0%,0.0%,52.9%,0.0%,60.0%
cavalry spv i llc,12,10,2,3.2%,5.2%,1.1%,30020,20487,9533,2.4%,4.9%,1.2%,16.7%,10.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
hoosier accounts service,11,5,6,2.9%,2.6%,3.3%,92278,0,92278,7.5%,0.0%,11.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,9.1%,0.0%,16.7%
citibank na,9,7,2,2.4%,3.6%,1.1%,26639,24475,2164,2.2%,5.9%,0.3%,33.3%,28.6%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
onemain financial group llc,8,5,3,2.1%,2.6%,1.7%,40963,22319,18644,3.3%,5.4%,2.3%,25.0%,20.0%,33.3%,0.0%,0.0%,0.0%,25.0%,0.0%,66.7%
td bank usa na,7,6,1,1.9%,3.1%,0.6%,2383,2383,0,0.2%,0.6%,0.0%,28.6%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
crown asset management llc,7,4,3,1.9%,2.1%,1.7%,5413,3415,1998,0.4%,0.8%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,28.6%,25.0%,33.3%
midland funding llc,6,0,6,1.6%,0.0%,3.3%,6989,0,6989,0.6%,0.0%,0.9%,0.0%,0%,0.0%,0.0%,0%,0.0%,33.3%,0%,33.3%
mariner finance llc successor in in,5,0,5,1.3%,0.0%,2.8%,9948,0,9948,0.8%,0.0%,1.2%,0.0%,0%,0.0%,0.0%,0%,0.0%,40.0%,0%,40.0%
ford motor credit company llc,4,1,3,1.1%,0.5%,1.7%,7942,0,7942,0.6%,0.0%,1.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,66.7%
