collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
cameron memorial community hospital,115,48,67,14.7%,11.3%,18.7%,256166,58213,197953,15.9%,9.3%,20.0%,2.6%,0.0%,4.5%,0.0%,0.0%,0.0%,43.5%,27.1%,55.2%
lvnv funding llc,93,64,29,11.9%,15.1%,8.1%,39492,24777,14716,2.4%,4.0%,1.5%,1.1%,1.6%,0.0%,0.0%,0.0%,0.0%,28.0%,21.9%,41.4%
midland credit management inc,71,45,26,9.1%,10.6%,7.3%,28746,11751,16995,1.8%,1.9%,1.7%,1.4%,0.0%,3.8%,0.0%,0.0%,0.0%,25.4%,13.3%,46.2%
portfolio recovery associates llc,58,27,31,7.4%,6.4%,8.7%,52532,13606,38926,3.3%,2.2%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.6%,29.6%,61.3%
capital one bank (usa) na,42,31,11,5.4%,7.3%,3.1%,75020,66770,8250,4.7%,10.7%,0.8%,11.9%,6.5%,27.3%,0.0%,0.0%,0.0%,52.4%,51.6%,54.5%
discover bank,33,29,4,4.2%,6.9%,1.1%,92641,76080,16562,5.7%,12.2%,1.7%,12.1%,10.3%,25.0%,0.0%,0.0%,0.0%,42.4%,44.8%,25.0%
new world collections inc,28,7,21,3.6%,1.7%,5.9%,44056,0,44056,2.7%,0.0%,4.5%,3.6%,0.0%,4.8%,0.0%,0.0%,0.0%,35.7%,0.0%,47.6%
communitywide federal credit union,23,10,13,2.9%,2.4%,3.6%,104315,25101,79214,6.5%,4.0%,8.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,34.8%,20.0%,46.2%
jefferson capital systems llc,22,9,13,2.8%,2.1%,3.6%,7515,0,7515,0.5%,0.0%,0.8%,4.5%,11.1%,0.0%,0.0%,0.0%,0.0%,27.3%,11.1%,38.5%
onemain financial group llc,18,12,6,2.3%,2.8%,1.7%,103162,50496,52666,6.4%,8.1%,5.3%,5.6%,8.3%,0.0%,0.0%,0.0%,0.0%,22.2%,25.0%,16.7%
cavalry spv i llc,17,9,8,2.2%,2.1%,2.2%,59284,26955,32329,3.7%,4.3%,3.3%,5.9%,11.1%,0.0%,0.0%,0.0%,0.0%,64.7%,66.7%,62.5%
sac finance inc,15,7,8,1.9%,1.7%,2.2%,98578,51229,47348,6.1%,8.2%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,53.3%,71.4%,37.5%
second round sub llc,14,2,12,1.8%,0.5%,3.4%,20309,1508,18801,1.3%,0.2%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,78.6%,50.0%,83.3%
crown asset management llc,13,8,5,1.7%,1.9%,1.4%,20539,7357,13183,1.3%,1.2%,1.3%,7.7%,12.5%,0.0%,0.0%,0.0%,0.0%,69.2%,50.0%,100.0%
bank of america na,12,6,6,1.5%,1.4%,1.7%,60396,11861,48534,3.7%,1.9%,4.9%,8.3%,16.7%,0.0%,0.0%,0.0%,0.0%,75.0%,50.0%,100.0%
citibank na,11,5,6,1.4%,1.2%,1.7%,22899,8211,14688,1.4%,1.3%,1.5%,45.5%,60.0%,33.3%,0.0%,0.0%,0.0%,27.3%,20.0%,33.3%
credit acceptance corporation,8,3,5,1.0%,0.7%,1.4%,33545,12197,21349,2.1%,2.0%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,66.7%,60.0%
wells fargo bank na,8,5,3,1.0%,1.2%,0.8%,33795,16949,16846,2.1%,2.7%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,62.5%,60.0%,66.7%
unifund ccr llc,8,1,7,1.0%,0.2%,2.0%,1800,0,1800,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,12.5%,0.0%,14.3%
american express national bank,7,7,0,0.9%,1.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,14.3%,14.3%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
synchrony bank,6,6,0,0.8%,1.4%,0.0%,9003,9003,0,0.6%,1.4%,0.0%,16.7%,16.7%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
credit acceptance corp.,5,3,2,0.6%,0.7%,0.6%,13896,0,13896,0.9%,0.0%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,100.0%
td bank usa na,5,4,1,0.6%,0.9%,0.3%,6230,5216,1013,0.4%,0.8%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,100.0%,100.0%
cavalry spv illc,5,1,4,0.6%,0.2%,1.1%,7331,0,7331,0.5%,0.0%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,60.0%,0.0%,75.0%
midland funding llc,4,1,3,0.5%,0.2%,0.8%,13894,2232,11662,0.9%,0.4%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,75.0%,100.0%,66.7%
midland credit managementinc,4,1,3,0.5%,0.2%,0.8%,2090,0,2090,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,66.7%
gateway financial solutions,4,3,1,0.5%,0.7%,0.3%,15316,212,15104,0.9%,0.0%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%
credit corp solutions inc,4,3,1,0.5%,0.7%,0.3%,4482,4482,0,0.3%,0.7%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,33.3%,0.0%
cavalry spv i llc as assignee of citibank na,3,2,1,0.4%,0.5%,0.3%,3011,1521,1490,0.2%,0.2%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
portfolio recovery associatesllc,3,0,3,0.4%,0.0%,0.8%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%
glenbrook credit acceptance corporation,3,0,3,0.4%,0.0%,0.8%,18124,0,18124,1.1%,0.0%,1.8%,0.0%,0%,0.0%,0.0%,0%,0.0%,33.3%,0%,33.3%
interra credit union,3,2,1,0.4%,0.5%,0.3%,0,0,0,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%,0.0%,0.0%,0.0%,33.3%,0.0%,100.0%
second round lp,3,0,3,0.4%,0.0%,0.8%,3865,0,3865,0.2%,0.0%,0.4%,0.0%,0%,0.0%,0.0%,0%,0.0%,100.0%,0%,100.0%
heritage acceptance corporation,3,3,0,0.4%,0.7%,0.0%,8665,8665,0,0.5%,1.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
farmers & merchants state bank,3,3,0,0.4%,0.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
eagle finance company,2,1,1,0.3%,0.2%,0.3%,2377,0,2377,0.1%,0.0%,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
