collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
professional & business collections llc,171,146,25,34.3%,34.0%,36.8%,625927,476293,149633,51.5%,52.7%,47.8%,0.6%,0.7%,0.0%,0.0%,0.0%,0.0%,53.2%,50.0%,72.0%
lvnv funding llc,38,38,0,7.6%,8.8%,0.0%,36742,36742,0,3.0%,4.1%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,65.8%,65.8%,0%
professional & business collections,27,26,1,5.4%,6.0%,1.5%,7151,0,7151,0.6%,0.0%,2.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.7%,0.0%,100.0%
midland credit management inc,27,27,0,5.4%,6.3%,0.0%,16119,16119,0,1.3%,1.8%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,51.9%,51.9%,0%
capital one bank (usa) na,26,26,0,5.2%,6.0%,0.0%,50620,50620,0,4.2%,5.6%,0.0%,3.8%,3.8%,0%,0.0%,0.0%,0%,65.4%,65.4%,0%
discover bank,25,25,0,5.0%,5.8%,0.0%,24877,24877,0,2.0%,2.8%,0.0%,4.0%,4.0%,0%,0.0%,0.0%,0%,24.0%,24.0%,0%
cavalry spv i llc,13,13,0,2.6%,3.0%,0.0%,1954,1954,0,0.2%,0.2%,0.0%,7.7%,7.7%,0%,0.0%,0.0%,0%,15.4%,15.4%,0%
citibank na,11,11,0,2.2%,2.6%,0.0%,26375,26375,0,2.2%,2.9%,0.0%,18.2%,18.2%,0%,0.0%,0.0%,0%,45.5%,45.5%,0%
portfolio recovery associates llc,10,8,2,2.0%,1.9%,2.9%,19644,9757,9888,1.6%,1.1%,3.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,37.5%,50.0%
evansville teachers federal credit union,8,2,6,1.6%,0.5%,8.8%,63432,26313,37120,5.2%,2.9%,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,50.0%,50.0%
synchrony bank,8,8,0,1.6%,1.9%,0.0%,3691,3691,0,0.3%,0.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,12.5%,12.5%,0%
onemain financial group llc,6,5,1,1.2%,1.2%,1.5%,41753,35333,6420,3.4%,3.9%,2.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,83.3%,80.0%,100.0%
mariner finance llc successor in interest to personal finance company llc,6,6,0,1.2%,1.4%,0.0%,21579,21579,0,1.8%,2.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
the morris plan company of terre haute inc,5,2,3,1.0%,0.5%,4.4%,9169,0,9169,0.8%,0.0%,2.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,40.0%,0.0%,66.7%
credit acceptance corp.,4,3,1,0.8%,0.7%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%,100.0%
american express national bank,4,4,0,0.8%,0.9%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,25.0%,25.0%,0%
cavalry spv i llc as assignee of citibank na,3,2,1,0.6%,0.5%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,50.0%,100.0%
gateway financial solutions,3,1,2,0.6%,0.2%,2.9%,9492,0,9492,0.8%,0.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,66.7%,0.0%,100.0%
evansville federal credit union,3,1,2,0.6%,0.2%,2.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
dnf associates llc,3,3,0,0.6%,0.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
jefferson capital systems llc,3,3,0,0.6%,0.7%,0.0%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
td bank usa na,3,3,0,0.6%,0.7%,0.0%,1864,1864,0,0.2%,0.2%,0.0%,33.3%,33.3%,0%,0.0%,0.0%,0%,33.3%,33.3%,0%
crown asset management llc,3,3,0,0.6%,0.7%,0.0%,6156,6156,0,0.5%,0.7%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
bank of america na,3,3,0,0.6%,0.7%,0.0%,8935,8935,0,0.7%,1.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,66.7%,66.7%,0%
bob zoss law office llc,2,0,2,0.4%,0.0%,2.9%,10434,0,10434,0.9%,0.0%,3.3%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
sac finance inc,2,1,1,0.4%,0.2%,1.5%,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
credit acceptance corporation,2,1,1,0.4%,0.2%,1.5%,11832,0,11832,1.0%,0.0%,3.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
midland funding llc,2,1,1,0.4%,0.2%,1.5%,937,937,0,0.1%,0.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,100.0%,0.0%
autovest llc,2,0,2,0.4%,0.0%,2.9%,0,0,0,0.0%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,0.0%,50.0%,0%,50.0%
no plaintiff found,2,1,1,0.4%,0.2%,1.5%,12793,12793,0,1.1%,1.4%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
creditmax inc,2,1,1,0.4%,0.2%,1.5%,6889,0,6889,0.6%,0.0%,2.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,50.0%,0.0%,100.0%
andrews auto sales inc,2,2,0,0.4%,0.5%,0.0%,9899,9899,0,0.8%,1.1%,0.0%,50.0%,50.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
diamond valley federal credit union,2,2,0,0.4%,0.5%,0.0%,3511,3511,0,0.3%,0.4%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,50.0%,50.0%,0%
autovest llc of indiana,2,2,0,0.4%,0.5%,0.0%,9826,9826,0,0.8%,1.1%,0.0%,0.0%,0.0%,0%,0.0%,0.0%,0%,100.0%,100.0%,0%
mag specialties inc,2,2,0,0.4%,0.5%,0.0%,0,0,0,0.0%,0.0%,0.0%,50.0%,50.0%,0%,0.0%,0.0%,0%,0.0%,0.0%,0%
