collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,84,55,29,12.6%,14.9%,9.8%,35311,22847,12464,2.2%,4.4%,1.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,38.1%,32.7%,48.3%
midland credit management inc,80,46,34,12.0%,12.4%,11.5%,86453,44186,42268,5.3%,8.4%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,46.3%,32.6%,64.7%
portfolio recovery associates llc,63,24,39,9.5%,6.5%,13.2%,85238,32884,52354,5.3%,6.3%,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,52.4%,41.7%,59.0%
communitywide federal credit union,46,26,20,6.9%,7.0%,6.8%,111060,21930,89130,6.9%,4.2%,8.1%,2.2%,3.8%,0.0%,0.0%,0.0%,0.0%,30.4%,11.5%,55.0%
capital one bank (usa) na,42,26,16,6.3%,7.0%,5.4%,70565,41857,28709,4.4%,8.0%,2.6%,2.4%,0.0%,6.3%,0.0%,0.0%,0.0%,64.3%,65.4%,62.5%
discover bank,34,25,9,5.1%,6.8%,3.1%,98170,43381,54790,6.1%,8.3%,5.0%,5.9%,4.0%,11.1%,0.0%,0.0%,0.0%,41.2%,32.0%,66.7%
citibank na,26,14,12,3.9%,3.8%,4.1%,49626,26492,23135,3.1%,5.1%,2.1%,30.8%,28.6%,33.3%,0.0%,0.0%,0.0%,65.4%,50.0%,83.3%
onemain financial group llc,19,9,10,2.9%,2.4%,3.4%,115687,29091,86596,7.1%,5.6%,7.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,63.2%,55.6%,70.0%
crown asset management llc,18,12,6,2.7%,3.2%,2.0%,26382,20337,6046,1.6%,3.9%,0.6%,11.1%,16.7%,0.0%,0.0%,0.0%,0.0%,72.2%,66.7%,83.3%
synchrony bank,16,14,2,2.4%,3.8%,0.7%,9695,9695,0,0.6%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,37.5%,28.6%,100.0%
