collector,count,count21,count20,percent_total,percent_total21,percent_total20,dollar_amount,dollar_amount21,dollar_amount20,dollar_percent_total,dollar_percent_total21,dollar_percent_total20,percent_with_representation,percent_with_representation21,percent_with_representation20,percent_default_judgement,percent_default_judgement21,percent_default_judgement20,percent_case_completed,percent_case_completed21,percent_case_completed20
lvnv funding llc,694,324,370,28.8%,42.7%,22.4%,111021,0,111021,28.1%,0%,28.1%,0.0%,0.0%,0.0%,56.3%,43.5%,67.6%,96.4%,92.9%,99.5%
portfolio recovery associates llc,429,64,365,17.8%,8.4%,22.1%,89580,0,89580,22.7%,0%,22.7%,0.0%,0.0%,0.0%,78.6%,40.6%,85.2%,99.1%,93.8%,100.0%
midland funding llc,319,3,316,13.2%,0.4%,19.2%,41948,0,41948,10.6%,0%,10.6%,0.3%,0.0%,0.3%,76.5%,100.0%,76.3%,100.0%,100.0%,100.0%
midland credit management inc,232,150,82,9.6%,19.8%,5.0%,45774,0,45774,11.6%,0%,11.6%,0.0%,0.0%,0.0%,62.1%,57.3%,70.7%,94.0%,90.7%,100.0%
cavalry spv i llc,192,39,153,8.0%,5.1%,9.3%,25060,0,25060,6.3%,0%,6.3%,0.0%,0.0%,0.0%,65.6%,69.2%,64.7%,97.9%,92.3%,99.3%
jefferson capital systems llc,158,48,110,6.6%,6.3%,6.7%,26408,0,26408,6.7%,0%,6.7%,0.6%,0.0%,0.9%,67.7%,56.3%,72.7%,94.9%,87.5%,98.2%
unifund corporation,36,4,32,1.5%,0.5%,1.9%,11245,0,11245,2.8%,0%,2.8%,0.0%,0.0%,0.0%,66.7%,100.0%,62.5%,100.0%,100.0%,100.0%
credit management corporation,32,15,17,1.3%,2.0%,1.0%,614,0,614,0.2%,0%,0.2%,3.1%,6.7%,0.0%,84.4%,80.0%,88.2%,100.0%,100.0%,100.0%
crown asset management llc,27,24,3,1.1%,3.2%,0.2%,0,0,0,0.0%,0%,0.0%,0.0%,0.0%,0.0%,51.9%,50.0%,66.7%,92.6%,91.7%,100.0%
dnf associates llc,24,22,2,1.0%,2.9%,0.1%,1240,0,1240,0.3%,0%,0.3%,0.0%,0.0%,0.0%,87.5%,90.9%,50.0%,95.8%,95.5%,100.0%
second round sub llc assignee of comenity bank,24,0,24,1.0%,0.0%,1.5%,1147,0,1147,0.3%,0%,0.3%,4.2%,0%,4.2%,87.5%,0%,87.5%,100.0%,0%,100.0%
absolute resolutions investments llc,19,7,12,0.8%,0.9%,0.7%,4706,0,4706,1.2%,0%,1.2%,0.0%,0.0%,0.0%,84.2%,71.4%,91.7%,100.0%,100.0%,100.0%
crown asset management llc assignee of comenity bank,13,0,13,0.5%,0.0%,0.8%,0,0,0,0.0%,0%,0.0%,0.0%,0%,0.0%,69.2%,0%,69.2%,100.0%,0%,100.0%
credit corp solutions inc assignee of synchrony bank,12,2,10,0.5%,0.3%,0.6%,2759,0,2759,0.7%,0%,0.7%,0.0%,0.0%,0.0%,58.3%,50.0%,60.0%,100.0%,100.0%,100.0%
crown asset management llc assignee of synchrony bank,12,0,12,0.5%,0.0%,0.7%,1844,0,1844,0.5%,0%,0.5%,0.0%,0%,0.0%,66.7%,0%,66.7%,100.0%,0%,100.0%
